Change component parameters: Designator = "D4"; Footprint = "SOD-123_4148"; UniqueID = "\JCLOLBSX"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "YFW佑风微"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "1N4148W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C1884539"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "1N4148W-C1884539"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q1"; Footprint = "SOT-23"; UniqueID = "\GTTITVNO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "BORN伯恩半导体"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "S8050"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C266592"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "mengruisheng"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "Q"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "NPN"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2"; Footprint = "SOT-23"; UniqueID = "\YURJBVOD"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "BORN伯恩半导体"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "S8050"; VariantName = "[No Variations]"
